Attempt	Real
lit-er	li-ter
detri-ment	det-ri-ment
es-ta-blish	es-tab-lish
stra-te-g-ic	stra-te-gic
flo-ral	flo-r-al
cou-sin	cous-in
ta-male	ta-ma-le
proa	pro-a
em-a-ci-at-ed	e-ma-ci-at-ed
cymo-phane	cy-mo-phane
pos-y	po-sy
brother-hood	broth-er-hood
for-getting	for-get-ting
kach-i-na	ka-chi-na
is-o-gloss	i-so-gloss
a-bo	ab-o
o-ver-wear-y	o-ver-wea-ry
al-if	a-lif
con-train-di-ca-tion	con-tra-in-di-ca-tion
in-trig-u-er	in-tri-guer
re-dem-pto-ry	re-demp-to-ry
gaited	gait-ed
re-fre-sh-ing	re-fresh-ing
bal-la-dry	bal-lad-ry
can-o-rous-ness	ca-no-rous-ness
un-gul-i-grade	un-gu-li-grade
dime-thyl-benzene	di-meth-yl-ben-zene
i-so	iso
feof-fer	feoff-er
lil-li-pu-tian	lil-li-pu-ti-an
ru-ler	rul-er
stupe-fy	stu-pe-fy
nice-ty	ni-ce-ty
spif-fy	spiff-y
e-pise-mat-ic	ep-i-se-mat-ic
da-ven-port	dav-en-port
stov-er	sto-ver
tas-sie	tass-ie
o-ver-he-at	o-ver-heat
eiseg-e-sis	eis-e-ge-sis
drea-my	dream-y
in-nov-a-tive	in-no-va-tive
sper-ma-to-zoid	sper-ma-to-zo-id
mil-lipede	mil-li-pede
ste-re-oi-som-er-ism	ste-re-o-i-som-er-ism
pro-dro-mal	prod-ro-mal
ye-ti	yet-i
ab-solv-ent	ab-sol-vent
sa-ch-et	sa-chet
a-phot-ic	a-pho-tic
con-cordance	con-cord-ance
a-can-tho-di-an	ac-an-tho-di-an
o-ro-gen-ic	or-o-gen-ic
a-b-id-ing-ly	a-bid-ing-ly
jes-ter	jest-er
a-node	an-ode
bushi-do	bu-shi-do
de-tri-tiv-o-rous	det-ri-tiv-or-ous
ir-re-me-a-ble	ir-rem-e-a-ble
sy-naes-the-si-a	syn-aes-the-si-a
ep-is-teme	ep-i-ste-me
wi-dow	wid-ow
a-nam-ne-sis	an-am-ne-sis
bul-lock-y	bull-ock-y
con-tro-ver-ti-ble	con-tro-vert-i-ble
cate-na	ca-te-na
ad-jec-tive-ly	ad-jec-tively
re-spite	res-pite
in-fer-red	in-ferred
e-lee-mos-y-nar-y	el-e-e-mos-y-nar-y
bi-bli-ot-ic	bib-li-ot-ic
cha-mois	cham-ois
ze-nith	zen-ith
con-ceded	con-ced-ed
e-poch	ep-och
as-tro-phy-sics	as-tro-phys-ics
shel-ly	shell-y
anime	a-nime
mul-tip-li-ca-tion	mul-ti-pli-ca-tion
ion-ize	i-on-ize
i-ch-or	i-chor
t-me-sis	tme-sis
le-gend	leg-end
par-que-try	par-quet-ry
wonted-ly	wont-ed-ly
glos-soph-a-ryn-geal	glos-so-pha-ryn-ge-al
ba-ron	bar-on
mai-den-hood	maid-en-hood
guil-ty	guilt-y
pho-nem-ic	pho-ne-mic
bed-im	be-dim
musk-eg	mus-keg
rep-u-di-ate	re-pu-di-ate
res-igned	re-signed
a-pos-to-lic-i-ty	a-pos-to-lic-ity
pro-tean	pro-te-an
pro-gnos-ti-cate	prog-nos-ti-cate
xe-noge-ny	xe-nog-e-ny
na-nom-e-tre	na-no-me-tre
bec-quer-el	bec-que-rel
host-ler	hos-tler
ac-ces-sor-ize	ac-ces-so-rize
lit-toral	lit-to-ral
spi-r-i-tis-tic	spir-it-is-tic
re-ce-ipt	re-ceipt
car-ne-li-an	car-nel-ian
ion	i-on
pro-vided	pro-vid-ed
ep-i-cri-sis	e-pic-ri-sis
a-me-li-o-rate	a-mel-io-rate
wrap-ped	wrapped
wol-fish	wolf-ish
gases	gas-es
ri-co-chet	ric-o-chet
limes	li-mes
preemp-tive	pre-emp-tive
jam-b	jamb
de-hy-dro-ge-na-tion	de-hy-dro-gen-a-tion
re-cog-nise	rec-og-nise
pla-card	plac-ard
di-ap-er	di-a-per
po-lis	pol-is
ca-m-ouf-lage	cam-ou-flage
he-taer-a	he-tae-ra
bal-boa	bal-bo-a
bak-er	ba-ker
fic-ti-on-al-i-za-tion	fic-tion-al-i-za-tion
fin-als	fi-nals
ti-bi-al	tib-i-al
grande	gran-de
pri-cey	price-y
re-ver-si-ble	re-vers-i-ble
o-lecra-non	o-lec-ra-non
ladi-no	la-di-no
yi-eld-ing	yield-ing
vi-b-ra-to	vi-bra-to
bes-tir	be-stir
ev-er-y-bo-dy	eve-ry-bod-y
jam-be	jambe
ra-pier	ra-pi-er
mar-im-ba	ma-rim-ba
co-lor-ful	col-or-ful
rec-i-pient	re-cip-i-ent
qua-d-ren-ni-um	quad-ren-ni-um
he-donist	he-don-ist
souch-ong	sou-chong
sau-cy	sauc-y
bar	ba-r
tra-ver-tine	trav-er-tine
cle-v-er-ly	clev-er-ly
car-am-ba	ca-ram-ba
clas-sy	class-y
pro-digious	pro-di-gious
phon-o-graph	pho-no-graph
ste-re-oi-som-er-ism	ster-e-o-i-som-er-ism
ma-ke-shift	make-shift
pi-er	pier
ob-stin-a-cy	ob-sti-na-cy
bu-y-a-ble	buy-a-ble
er-a	e-ra
troi-l-ism	troil-ism
hein-ie	hei-nie
o-don-tal-gi-a	o-don-tal-gia
hem-pen	hemp-en
a-dept	ad-ept
no-vice	nov-ice
sal-a-mi	sa-la-mi
ban-do-li-er	ban-do-lier
cat-ter-y	cat-te-ry
pre-sen-ta-tion	pres-en-ta-tion
braided	braid-ed
quar-re-ler	quar-rel-er
beeswing	bees-wing
mus-krat	musk-rat
bar-o-net	bar-on-et
cate-nar-y	cat-e-nar-y
me-dic-in-a-ble	me-dic-i-na-ble
ep-is-co-pa-l-i-an	e-pis-co-pa-li-an
bac-ter-i-o-phage	bac-te-ri-o-phage
ad-voc-a-cy	ad-vo-ca-cy
pat-ri-ot-ic	pa-tri-ot-ic
item	i-tem
au-tark-ic	au-tar-kic
riches	rich-es
til-lage	till-age
mes-siah	mes-si-ah
play-a	pla-ya
wretched	wretch-ed
a-ke-ton	ake-ton
con-fi-gure	con-fig-ure
poly-he-dron	pol-y-he-dron
where-v-er	wher-ev-er
titer	ti-ter
ha-z-ard	haz-ard
un-se-conded	un-sec-ond-ed
pana-che	pa-nache
spir-a-cle	spi-ra-cle
lousy	lous-y
par-mi-gi-a-na	par-mi-gia-na
rem-i-grate	re-mi-grate
ter-rorize	ter-ror-ize
roo-f-er	roof-er
un-stinted	un-stint-ed
drug-g-ing	drug-ging
stapes	sta-pes
fat-a-list	fa-tal-ist
ia-troch-e-mis-try	i-at-ro-chem-is-try
re-sur-rec-tion	res-ur-rec-tion
sax-o-ph-o-nist	sax-o-phon-ist
lob-o-la	lo-bo-la
rhet-o-ri-ci-an	rhe-tor-i-cian
or-gan-i-zer	or-gan-iz-er
in-ha-bit-ed	in-hab-it-ed
pro-fi-ci-en-cy	pro-fi-cien-cy
id-e-a-tion	i-de-a-tion
fal-co-net	fal-con-et
u-ni-on	un-ion
al-phan-u-mer-i-cal-ly	al-pha-nu-mer-i-cal-ly
cum-min-gtonite	cum-ming-ton-ite
a-cyc-lic	a-cy-clic
fil-i-oque	fil-i-o-que
cin-e-re-ous	ci-ner-e-ous
per-cept-i-ble	per-cep-ti-ble
oa-fish	oaf-ish
tran-spon-i-ble	trans-po-ni-ble
is-o-bath-ic	i-so-bath-ic
col-loqui-al-ly	col-lo-qui-al-ly
sy-naere-sis	syn-aer-e-sis
mis-ty	mist-y
de-sue-tude	des-u-e-tude
u-phol-ster-y	up-hol-ster-y
bur-glar-y	bur-gla-ry
com-a-tose	co-ma-tose
di-rig-i-ble	dir-i-gi-ble
pe-r-i-o-date	pe-ri-o-date
paries	par-i-es
made-leine	mad-e-leine
wrong-doing	wrong-do-ing
a-bh-or-rer	ab-hor-rer
che-ri-mo-y-a	cher-i-moy-a
spiri-tous	spir-i-tous
cur-mud-geon	cur-mudg-eon
spruik	spru-ik
bra-dy-ki-nin	brad-y-kin-in
o-ve-r-e-aten	o-ver-eat-en
tro-che	troche
pro-mon-to-ry	prom-on-to-ry
ra-piered	ra-pi-ered
ki-lom-e-ter	kil-o-me-ter
pre-dic-t-a-ble	pre-dict-a-ble
ag-glu-tin-a-tive	ag-glu-ti-na-tive
join-tress	joint-ress
su-per-ce-les-ti-al	su-per-ce-les-tial
polyg-a-mist	po-lyg-a-mist
mal-i-gnan-cy	ma-lig-nan-cy
mos-sy	moss-y
vehe-mence	ve-he-mence
de-n-ied	de-nied
con-a-tus	co-na-tus
rel-u-mine	re-lu-mine
a-fo-re	a-fore
de-ac-ti-vate	de-ac-tiv-ate
vi-r-us	vi-rus
re-din-te-grate	red-in-te-grate
treen	tre-en
tu-a-tar-a	tu-a-ta-ra
switche-roo	switch-er-oo
mi-cro-bial	mi-cro-bi-al
fa-got	fag-ot
som-me-li-er	som-me-lier
e-m-ir	e-mir
fig-ura-tive	fig-ur-a-tive
ti-er	tier
mali-cious	ma-li-cious
spauld-er	spaul-der
coque-try	co-quet-ry
cal-ler	call-er
in-ter	inter
hear-ti-ly	heart-i-ly
bonz-er	bon-zer
rab-bi-nate	rab-bin-ate
bab-i-che	ba-biche
prol-i-f-er-a-tion	pro-lif-er-a-tion
ab-so-l-utism	ab-so-lut-ism
u-n-er-ring	un-err-ing
car-y-a-tid	car-y-at-id
stringy	string-y
e-ly-tron	el-y-tron
tran-sport	trans-port
ester	es-ter
lar-yn-geal	la-ryn-ge-al
bac-te-r-i-um	bac-te-ri-um
re-lish	rel-ish
an-tonym	an-to-nym
tri-bune	trib-une
par-i-ah	pa-ri-ah
schlim-a-zel	schli-ma-zel
boil-er-maker	boil-er-mak-er
dec-iph-er-er	de-ci-pher-er
ha-pless	hap-less
nap-alm	na-palm
ab-o-lish-a-ble	a-bol-ish-a-ble
cre-n-el-late	cren-el-late
guild-er	guil-der
clim-ber	climb-er
herald-ry	her-ald-ry
em-ployee	em-ploy-ee
o-bit-u-ar-y	o-bi-tu-ar-y
am-idst	a-midst
lechay-im	le-cha-yim
ban-krupt-cy	bank-rupt-cy
