Attempt	Real
lit-er	li-ter
es-ta-blish	es-tab-lish
stra-te-g-ic	stra-te-gic
mon-omer	mon-o-mer
lab-yr-inth	lab-y-rinth
flo-ral	flo-r-al
cou-sin	cous-in
ta-male	ta-ma-le
em-a-ci-at-ed	e-ma-ci-at-ed
pos-y	po-sy
brother-hood	broth-er-hood
kach-i-na	ka-chi-na
is-o-gloss	i-so-gloss
a-bo	ab-o
o-ver-wear-y	o-ver-wea-ry
al-if	a-lif
con-train-di-ca-tion	con-tra-in-di-ca-tion
in-trig-u-er	in-tri-guer
bal-la-dry	bal-lad-ry
can-o-rous-ness	ca-no-rous-ness
un-guli-grade	un-gu-li-grade
dime-thyl-benz-ene	di-meth-yl-ben-zene
i-so	iso
feof-f-er	feoff-er
lil-li-pu-tian	lil-li-pu-ti-an
ru-ler	rul-er
stupe-fy	stu-pe-fy
nice-ty	ni-ce-ty
spif-fy	spiff-y
forum	fo-rum
e-pise-mat-ic	ep-i-se-mat-ic
hi-de-out	hide-out
da-ven-port	dav-en-port
stov-er	sto-ver
tas-sie	tass-ie
o-ver-he-at	o-ver-heat
ei-seg-e-sis	eis-e-ge-sis
dreamy	dream-y
in-nov-a-tive	in-no-va-tive
sper-ma-tozoid	sper-ma-to-zo-id
clo-dhop-per	clod-hop-per
e-du-ca-tor	ed-u-ca-tor
stere-o-i-som-er-ism	ste-re-o-i-som-er-ism
pro-dro-mal	prod-ro-mal
y-e-ti	yet-i
ab-solv-ent	ab-sol-vent
a-phot-ic	a-pho-tic
a-can-tho-di-an	ac-an-tho-di-an
jes-ter	jest-er
a-node	an-ode
bushi-do	bu-shi-do
cate-chu-men	cat-e-chu-men
de-tri-tiv-o-rous	det-ri-tiv-or-ous
ir-re-me-a-ble	ir-rem-e-a-ble
lef-t-ies	left-ies
sy-naes-the-si-a	syn-aes-the-si-a
e-p-is-teme	ep-i-ste-me
wi-dow	wid-ow
a-nam-ne-sis	an-am-ne-sis
bul-lock-y	bull-ock-y
con-tro-ver-ti-ble	con-tro-vert-i-ble
cate-na	ca-te-na
ad-jec-tive-ly	ad-jec-tively
am-bas-sador	am-bas-sa-dor
re-spite	res-pite
e-lee-mos-y-nar-y	el-e-e-mos-y-nar-y
bi-bli-ot-ic	bib-li-ot-ic
cha-mois	cham-ois
e-poch	ep-och
as-tro-phy-sics	as-tro-phys-ics
shel-ly	shell-y
le-gend	leg-end
parque-try	par-quet-ry
won-ted-ly	wont-ed-ly
glos-soph-a-ryn-geal	glos-so-pha-ryn-ge-al
ba-ron	bar-on
mai-den-hood	maid-en-hood
guil-ty	guilt-y
nast-y	nas-ty
pho-nem-ic	pho-ne-mic
bed-im	be-dim
musk-eg	mus-keg
a-pos-to-lic-i-ty	a-pos-to-lic-ity
pro-tean	pro-te-an
dis-or-ganised	dis-or-gan-ised
pro-gnos-ti-cate	prog-nos-ti-cate
